,precision,recall,f1-score,support
Apple___Apple_scab,0.946236559139785,0.946236559139785,0.946236559139785,93.0
Apple___Black_rot,0.9873417721518988,0.975,0.9811320754716981,80.0
Apple___Cedar_apple_rust,0.9736842105263158,0.9487179487179487,0.961038961038961,39.0
Apple___healthy,0.9704797047970479,0.9776951672862454,0.9740740740740741,269.0
Blueberry___healthy,1.0,0.9823008849557522,0.9910714285714286,226.0
Cherry___healthy,0.9834710743801653,0.9916666666666667,0.9875518672199171,120.0
Cherry___Powdery_mildew,1.0,0.9935897435897436,0.9967845659163987,156.0
Corn___Cercospora_leaf_spot Gray_leaf_spot,0.8,0.8767123287671232,0.8366013071895425,73.0
Corn___Common_rust,0.9941520467836257,0.9883720930232558,0.9912536443148688,172.0
Corn___healthy,1.0,1.0,1.0,154.0
Corn___Northern_Leaf_Blight,0.9029850746268657,0.8897058823529411,0.8962962962962963,136.0
Grape___Black_rot,0.9947643979057592,0.9644670050761421,0.979381443298969,197.0
Grape___Esca_(Black_Measles),0.9678899082568807,0.9952830188679245,0.9813953488372092,212.0
Grape___healthy,1.0,1.0,1.0,58.0
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),0.9939393939393939,1.0,0.9969604863221885,164.0
Orange___Haunglongbing_(Citrus_greening),0.9942922374429224,0.9988532110091743,0.9965675057208238,872.0
Peach___Bacterial_spot,0.9794721407624634,0.9940476190476191,0.9867060561299852,336.0
Peach___healthy,1.0,0.9583333333333334,0.9787234042553191,48.0
"Pepper,_bell___Bacterial_spot",0.9767441860465116,0.9767441860465116,0.9767441860465116,172.0
"Pepper,_bell___healthy",0.9617486338797814,0.967032967032967,0.9643835616438357,182.0
Potato___Early_blight,0.9802631578947368,0.9490445859872612,0.9644012944983819,157.0
Potato___healthy,0.9047619047619048,0.8636363636363636,0.8837209302325582,22.0
Potato___Late_blight,0.9197530864197531,0.9085365853658537,0.9141104294478528,164.0
Raspberry___healthy,0.9824561403508771,1.0,0.9911504424778761,56.0
Soybean___healthy,0.9870967741935484,0.9947984395318595,0.9909326424870466,769.0
Squash___Powdery_mildew,0.9963768115942029,1.0,0.9981851179673321,275.0
Strawberry___healthy,1.0,0.9830508474576272,0.9914529914529915,59.0
Strawberry___Leaf_scorch,0.9935483870967742,0.9935483870967742,0.9935483870967742,155.0
Tomato___Bacterial_spot,0.8909090909090909,0.9333333333333333,0.9116279069767442,315.0
Tomato___Early_blight,0.8791208791208791,0.6060606060606061,0.7174887892376681,132.0
Tomato___healthy,0.8656126482213439,0.9776785714285714,0.9182389937106918,224.0
Tomato___Late_blight,0.8953068592057761,0.8985507246376812,0.8969258589511754,276.0
Tomato___Leaf_Mold,0.8623188405797102,0.9153846153846154,0.8880597014925373,130.0
Tomato___Septoria_leaf_spot,0.8725868725868726,0.8248175182481752,0.8480300187617261,274.0
Tomato___Spider_mites Two-spotted_spider_mite,0.8939393939393939,0.855072463768116,0.8740740740740741,276.0
Tomato___Target_Spot,0.7479674796747967,0.8288288288288288,0.7863247863247863,222.0
Tomato___Tomato_mosaic_virus,0.9591836734693877,0.8545454545454545,0.9038461538461539,55.0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.9865030674846625,0.9733656174334141,0.979890310786106,826.0
accuracy,0.9539651362631967,0.9539651362631967,0.9539651362631967,0.9539651362631967
macro avg,0.9485501686353457,0.9417108304646755,0.9440766210871127,8146.0
weighted avg,0.9546485520017537,0.9539651362631967,0.9536092296437053,8146.0
